"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"237351_at",-4.15665473198476,2.95655199630579,-21.2990049781467,1.36358999093634e-42,7.45542827544446e-38,86.2365966234485
"214505_s_at",-5.37346542466693,4.41011070527273,-20.6793051127983,2.2238002191759e-41,6.07931384917212e-37,83.4982049862098
"89977_at",-4.3656538656115,3.11606457590909,-20.4184019662161,7.3068629218862e-41,1.33167576751376e-36,82.3304743236418
"230595_at",-3.58264338405548,2.91407675797521,-20.3185128783774,1.15479849731764e-40,1.43473317031697e-36,81.8810604187851
"214582_at",-4.40909778863978,3.14658973001653,-20.2906984145282,1.31205593993321e-40,1.43473317031697e-36,81.755688712202
"223764_x_at",-3.50607290562898,2.85191547441322,-19.986388734056,5.33731768481547e-40,4.86363074028809e-36,80.3774540433818
"219059_s_at",-4.44331503759336,3.00984852873554,-19.7856900729831,1.35513149996329e-39,1.05845449657847e-35,79.4618664703753
"235670_at",-3.58966974250457,2.95757510520661,-19.6287423562429,2.8181408772634e-39,1.9260231558047e-35,78.7422004359614
"206930_at",-4.48815015292656,2.96766882066116,-19.5957168474433,3.28885969316909e-39,1.99798226360022e-35,78.5903550032719
"221295_at",-3.93009694573818,3.00111955195041,-19.4875992380068,5.45853756839842e-39,2.98445541552184e-35,78.0922497736755
"222083_at",-5.1308059996958,3.12694300176033,-19.4205584352027,7.47883094353089e-39,3.71731892579592e-35,77.7826186382691
"235201_at",-2.72765178917877,2.85098438920661,-19.3774307736808,9.16095663110125e-39,4.17396086504551e-35,77.5831199751977
"235382_at",-4.14558306146839,3.0033164955124,-19.2235810254355,1.89268621983503e-38,7.96020146688311e-35,76.8694586621809
"230463_at",-3.70458784234902,2.95936227393388,-19.0193085471016,4.98322528828404e-38,1.94612744740664e-34,75.9171015353388
"223727_at",-4.43412520861093,4.11836992513223,-18.8869195009062,9.35876313982494e-38,3.41126916446619e-34,75.2969530077129
"232313_at",-3.79893174463638,5.09337377700826,-18.8542485403834,1.09373586429496e-37,3.73750052377043e-34,75.1435587961089
"206069_s_at",-3.61100601371727,2.85086704899174,-18.8248530084781,1.25854858940025e-37,4.04771436032108e-34,75.0054233680414
"239273_s_at",-3.37498223780719,2.96278552386777,-18.7829662224926,1.53749177244294e-37,4.67013125879544e-34,74.8083930834212
"220061_at",-3.61375752206285,3.62321833866942,-18.7053306210301,2.22953041235308e-37,6.41576712081077e-34,74.442595774198
"204997_at",-5.37890761199382,3.27606224777686,-18.657008301827,2.81086896282672e-37,7.40667252701544e-34,74.2145150744506
"206262_at",-4.5962494901375,3.25789273910744,-18.6545066178721,2.84481249322952e-37,7.40667252701544e-34,74.2026988174968
"206030_at",-4.68077780768107,3.17096029665289,-18.5469230411186,4.77049813692926e-37,1.14110048688627e-33,73.693770133687
"230282_at",-2.24034958462221,2.72619480572727,-18.5451657036033,4.81101049764622e-37,1.14110048688627e-33,73.6854443716015
"243879_at",-3.58665965451305,3.13142328821488,-18.5367882169021,5.00894589579706e-37,1.14110048688627e-33,73.6457486703518
"1563182_at",-4.83035759268732,4.46505912516529,-18.4968328068719,6.07171607024015e-37,1.32788430456152e-33,73.4562982019895
"1552519_at",-5.83013652149442,3.44225464800826,-18.4556314717693,7.4058399904512e-37,1.557362697992e-33,73.2607209188954
"1555741_at",-2.80764902636371,2.73662678339669,-18.4098900413967,9.23532317376075e-37,1.87015294268655e-33,73.0433317681026
"236383_at",-2.80614779100346,2.88833316715702,-18.2750956339792,1.77280525601972e-36,3.46171883474565e-33,72.4011184777902
"206068_s_at",-3.61965097822684,2.98860108827273,-18.2647977479007,1.86353858504387e-36,3.51341283231977e-33,72.3519575001273
"220736_at",-4.51392137293215,3.02106040386777,-18.1730317231339,2.90914790743432e-36,5.30192206129904e-33,71.9132638355746
"220327_at",-3.53736253410299,3.24145003709091,-18.1281702513026,3.61821617447968e-36,6.38148288192504e-33,71.6983997601861
"203295_s_at",-2.41720882546949,2.72662696445455,-18.0731437004331,4.72975241427721e-36,8.08122541408145e-33,71.4344908715997
"239220_at",-3.60988616867879,3.55887075742975,-17.962456738596,8.11650777947784e-36,1.34475776619076e-32,70.9024355788097
"235708_at",-4.87366573355831,3.14128790842149,-17.9533112910186,8.48744958560024e-36,1.36485678262557e-32,70.8584033172874
"214040_s_at",-2.31259482118105,3.12692081342975,-17.9113079026302,1.04225373003189e-35,1.62814921969981e-32,70.6560310457069
"218934_s_at",-3.60560148502496,2.89090405673554,-17.850579003885,1.40315281976685e-35,2.1310383450209e-32,70.3630328244066
"238003_at",-4.63872265112733,3.36938450319835,-17.7277048251302,2.56446317902219e-35,3.78951417062265e-32,69.7687347311821
"1558820_a_at",-2.17918153541633,3.07765686007438,-17.7046938921389,2.87166101485081e-35,4.13179121018337e-32,69.6572209561657
"230309_at",-4.41399582168216,3.39014909408264,-17.6510106393184,3.74006150922612e-35,5.24327853889585e-32,69.396798116238
"230670_at",-2.31945432211882,2.95353248279339,-17.6279493710921,4.19005223390408e-35,5.72727764721763e-32,69.2848107729207
"206209_s_at",-3.81191481538017,2.9575600382314,-17.615879992487,4.44686563713498e-35,5.93005801732574e-32,69.2261734235599
"229480_at",-3.84014655264881,3.0954742448595,-17.5734547557376,5.48186618116577e-35,7.13621508226758e-32,69.0199066558421
"208383_s_at",-6.17612779389769,3.85453379213223,-17.4835960175768,8.54532151649411e-35,1.08654756724259e-31,68.5822539592232
"241866_at",-3.5991658051375,3.81413986154545,-17.4569433352802,9.74986372367664e-35,1.21153136157277e-31,68.4522425408111
"213325_at",-2.29162043802207,2.87110791766116,-17.4460081717876,1.02921644967267e-34,1.25049798635229e-31,68.3988744107039
"205208_at",-3.34675054348082,3.38799598633058,-17.4388669559904,1.06625787591236e-34,1.26734020359801e-31,68.36401398163
"1558420_at",-4.46789949829756,3.18195381928926,-17.4319736511372,1.10328404227072e-34,1.28344797896067e-31,68.3303575038056
"239345_at",-5.19967506404018,3.55853390478512,-17.420340339593,1.16872508476295e-34,1.3312509168628e-31,68.273544087858
"210807_s_at",-3.67960707253907,3.19773912669422,-17.4095906187344,1.23265966577492e-34,1.37542178012743e-31,68.2210303212162
"231683_at",-3.13536867306282,2.88718729219835,-17.3816077087707,1.41607121662442e-34,1.5484738753788e-31,68.0842602934442
"1556056_at",-2.81629783543441,2.76140168543802,-17.3575013308063,1.59593651838003e-34,1.70227603521656e-31,67.9663563457473
"210963_s_at",-3.79424013389656,2.94026049035537,-17.3543567857222,1.62103348765556e-34,1.70227603521656e-31,67.950970898411
"206742_at",-4.04087666820082,3.08004860478512,-17.3507723031212,1.65012583203435e-34,1.70227603521656e-31,67.9334313963099
"205609_at",-4.36718638875119,3.86725045470248,-17.3018426903714,2.10395778347938e-34,2.13025725577288e-31,67.6938447446891
"210298_x_at",-5.46231092192425,3.30265242613223,-17.2660983249957,2.51306681943665e-34,2.49821687913998e-31,67.518625650365
"201539_s_at",-5.63722991083378,3.40805612865289,-17.214654782811,3.24626977464305e-34,3.16946071301087e-31,67.2661608259899
"1553243_at",-3.86820088589373,3.4952809537438,-17.1604143187953,4.25367907103037e-34,4.0801737405015e-31,66.9996018652866
"202884_s_at",-3.70878169572065,3.27704179645455,-17.1407717863015,4.69149937264153e-34,4.42254703791683e-31,66.9029777024624
"231790_at",-2.65922835244517,2.75544055617355,-17.0804462073344,6.3403110485265e-34,5.87553400979977e-31,66.6059195094598
"207537_at",-3.66911326468445,3.03576314296694,-17.043088375643,7.64202797604995e-34,6.96379799317552e-31,66.4217268797722
"210106_at",-4.51047714802383,4.42142533617355,-17.0052382743938,9.2353173516297e-34,8.27772092131728e-31,66.2349253503564
"220037_s_at",-2.63020441390841,2.70969051886777,-16.9515955974918,1.20820853559185e-33,1.06546454328201e-30,65.969869809063
"244276_at",-5.43018024749217,3.71474297510744,-16.9310334178197,1.33940574548697e-33,1.16241284340476e-30,65.8681721992875
"239183_at",-1.96647201557696,2.59804213369421,-16.8553465790073,1.95839778624854e-33,1.67305310879905e-30,65.4933727750205
"228540_at",-2.24970002177434,2.8325405567686,-16.8444876619742,2.06822243148944e-33,1.73969325294901e-30,65.4395400083474
"228082_at",-2.92344100538861,3.01962364423967,-16.7862192937709,2.77241351067919e-33,2.29669255600583e-30,65.15042097991
"1558552_s_at",-2.30825414772118,2.70438434279339,-16.7223285124681,3.82477897343019e-33,3.12119090107904e-30,64.83291055375
"220868_s_at",-2.67589891332756,2.74226314309091,-16.5388222921308,9.66483977580237e-33,7.77095756973521e-30,63.9181008367403
"237017_s_at",-2.99707966400851,2.81376072709917,-16.4666362236643,1.39331453161114e-32,1.10405031907013e-29,63.5570832656241
"233346_at",-2.47287352490443,2.68314899938843,-16.422627636068,1.74192788438028e-32,1.36057010112131e-29,63.3366678478896
"237154_at",-5.50893036188413,3.5766588232562,-16.3971819389525,1.98221543027836e-32,1.52644547395028e-29,63.2091138885581
"227529_s_at",-4.58814346698705,3.29550497667769,-16.3858983413168,2.09917084066052e-32,1.59405785712658e-29,63.1525257864518
"1554044_a_at",-4.96116671828626,3.31764262282645,-16.3813811928512,2.14791263970754e-32,1.60872772021931e-29,63.1298675047269
"238062_at",-2.78897867001701,2.83029133929752,-16.3701914241689,2.27360887210791e-32,1.67985898760135e-29,63.0737280452234
"228368_at",-3.79393424573932,3.03392830431405,-16.3624854592967,2.36444339559047e-32,1.72367923538545e-29,63.0350579047367
"239811_at",2.76311877401071,7.11635735804959,16.3273374208601,2.82727395288308e-32,2.03396320228793e-29,62.858584219052
"230246_at",-2.67688192321723,2.93826529979339,-16.3054429833318,3.16055576588258e-32,2.24419982467052e-29,62.7485776892212
"241925_x_at",-3.46712089403457,2.87234295792562,-16.3013578472988,3.22697821003774e-32,2.26198761068992e-29,62.7280457364607
"238969_at",-3.1321974991952,2.85296086212397,-16.2910926892351,3.40014153551119e-32,2.35319922093765e-29,62.6764437856947
"230115_at",-2.27143004910864,2.80134427436364,-16.2596051487604,3.9917620803019e-32,2.72811989675633e-29,62.5180776734681
"210832_x_at",-3.3501716308032,3.40954555440496,-16.2139391064618,5.03842336183198e-32,3.4002631555452e-29,62.2881834307219
"238919_at",-3.58457017230493,2.99541284198347,-16.2115729539123,5.0996173526238e-32,3.4002631555452e-29,62.2762646207524
"219937_at",-2.74204815089653,2.78642084964463,-16.1901442944274,5.68895595968169e-32,3.74751406139273e-29,62.1682925371014
"218864_at",-3.13465562374611,4.08277846456198,-16.1464257312216,7.11222217056842e-32,4.62929460923605e-29,61.9478336564421
"206955_at",-4.40711327499328,5.06699047757851,-16.1302716903779,7.72434871456397e-32,4.96857371727983e-29,61.8663145417496
"208591_s_at",-2.14193892546895,2.62210221545455,-16.0748361777614,1.02568200628298e-31,6.52083298761882e-29,61.5863237693078
"237248_at",-3.66184467429699,3.02947032979339,-16.0654141298814,1.07636542773183e-31,6.76439997255604e-29,61.5386979980942
"219738_s_at",-3.61917518253967,3.02441831539669,-16.0090133263161,1.4369612776349e-31,8.92793839257821e-29,61.2533813991968
"209818_s_at",-1.60657386912336,4.55784019416529,-15.9763172304531,1.69928028815172e-31,1.04391179499658e-28,61.0878031426261
"231380_at",-2.73737294809168,2.83592571942149,-15.9515542579882,1.92953654615485e-31,1.17219345178907e-28,60.9623130274312
"1558421_a_at",-5.33584988957528,3.51003232935537,-15.8888981445976,2.66214484557039e-31,1.59948098276441e-28,60.6444616810452
"205108_s_at",-2.79185538841068,2.75411635042149,-15.8020274284692,4.16256993703689e-31,2.47378816638578e-28,60.2029865198857
"206208_at",-2.61238599946552,3.13531574218182,-15.7880050269123,4.474384750356e-31,2.63050522823348e-28,60.1316398545402
"239523_at",-5.20868806962731,4.1405002467686,-15.7778688432318,4.71429579311827e-31,2.74206513285895e-28,60.0800517614208
"223704_s_at",-2.09928456961998,2.65331145691736,-15.7592510461338,5.18913139053686e-31,2.98648167134319e-28,59.9852644159896
"229011_at",-3.40303596458039,4.1515169914876,-15.7438789412315,5.61720028475745e-31,3.19917109967827e-28,59.9069703212978
"205824_at",-3.55588371076816,4.39598856580165,-15.723092967896,6.25299799900518e-31,3.51030503402669e-28,59.8010570481492
"233496_s_at",-2.55408555863353,2.94201840822314,-15.7218908550099,6.29190477063768e-31,3.51030503402669e-28,59.7949301981619
"232187_at",-2.25163505764709,2.71991942332231,-15.710650887104,6.66766316904393e-31,3.68236852290381e-28,59.7376347182935
"203641_s_at",-2.64180715328852,2.76215657019008,-15.6703496151813,8.21014761465621e-31,4.48027996923932e-28,59.5320760433108
"235849_at",-5.47416680781967,4.11153101727273,-15.6687955159594,8.27632879548552e-31,4.48027996923932e-28,59.5241454079645
"229015_at",-2.18492963869119,2.76597782585124,-15.654238380933,8.9228573786665e-31,4.78291399194697e-28,59.4498457727977
"241765_at",-3.08434904654022,3.34915773984298,-15.6289894646602,1.01668813598121e-30,5.39683726551193e-28,59.3209155652994
"239398_at",-4.76688465683547,3.78209044752066,-15.6212187901035,1.05837445537908e-30,5.56409839883184e-28,59.2812204323285
"219902_at",-3.99113931335301,3.51121362821488,-15.6148876985681,1.09360408614457e-30,5.69455270570993e-28,59.2488738654609
"236927_at",-1.06392668665611,2.51785049454545,-15.6033961434078,1.16058608548233e-30,5.95374459676064e-28,59.1901495258904
"243311_at",-5.32651497691408,3.44833421547934,-15.6026360732476,1.16515897915572e-30,5.95374459676064e-28,59.1862648511368
"212705_x_at",-2.00881218825402,4.80976439402479,-15.4808096180407,2.19024917653938e-30,1.10881364562306e-27,58.5627357088518
"236936_at",-2.64828451776868,2.79230583712397,-15.4710236634377,2.3043255651598e-30,1.15586238784507e-27,58.5125737544423
"227058_at",-3.06230580722797,5.2180542128843,-15.4353515072448,2.77308161333583e-30,1.37714868839928e-27,58.3296264705676
"1570454_at",-1.97501773906847,2.60541992609917,-15.4337763916563,2.79585741952117e-30,1.37714868839928e-27,58.321544944944
"1552616_a_at",-3.24900440246387,2.88270734256198,-15.3775121969145,3.7453141526577e-30,1.82834867229071e-27,58.0326776718948
"208186_s_at",-4.58707156695314,6.53750669742149,-15.3633143087308,4.03230800883538e-30,1.95103044586791e-27,57.9597257747387
"240929_at",-3.10269517484734,3.16564651122314,-15.3555584036183,4.1983082827887e-30,2.01353074878484e-27,57.9198643317434
"214584_x_at",-2.31175030038071,2.76690991342975,-15.3247364194896,4.92867843205188e-30,2.34326515889075e-27,57.761385960241
"222717_at",-5.0336973863157,4.04682802447107,-15.2738195168156,6.42542588707384e-30,3.02853586530829e-27,57.499344359767
"1555740_a_at",-2.62694769419005,2.70662408157025,-15.2644833748212,6.7458007997415e-30,3.15236460449459e-27,57.4512638916414
"224207_x_at",-1.27280129677947,4.40848904843802,-15.2077376919762,9.06909285780771e-30,4.20214111864946e-27,57.1588122943208
"224339_s_at",-2.70347412227891,2.77271211252066,-15.1919185924432,9.84968440845103e-30,4.52547474816857e-27,57.0772192612646
"203435_s_at",-4.29545056110241,5.01202280576033,-15.186158268898,1.01503899157518e-29,4.62477140536441e-27,57.0475010948125
"1556579_s_at",-2.78903116907979,3.01186422590083,-15.1816789429776,1.03905809818074e-29,4.69508277008529e-27,57.0243891225382
"220065_at",-4.12490060581792,3.08966660478512,-15.1667914267734,1.12306531673036e-29,5.03308165510103e-27,56.9475575756663
"207317_s_at",-3.3351956814305,3.24213602089256,-15.153796919747,1.20194765803655e-29,5.34280391895513e-27,56.8804748296769
"218711_s_at",-2.80570221789994,2.73573329219835,-15.1515588030033,1.21608512353073e-29,5.36205275234214e-27,56.8689188515539
"217504_at",-3.09828108548251,3.06738864380165,-15.1100756888033,1.51055053652096e-29,6.60714804674269e-27,56.6546276913933
"210831_s_at",-2.70019457914993,2.95157545068595,-15.0741004042685,1.82334989592837e-29,7.9120361555463e-27,56.4686306380084
"226286_at",-2.50159520789258,3.96951601605785,-15.0717782370074,1.84564443947074e-29,7.94571730142227e-27,56.45661969448
"235129_at",-4.75506618004192,3.56310721339669,-15.0659213138988,1.90309865910912e-29,8.12905618646804e-27,56.4263232329387
"213644_at",-2.61922527547855,3.71486647736364,-15.0559331593492,2.00525207405642e-29,8.49900443015771e-27,56.3746479731556
"229778_at",-5.0329226141867,3.25144145061157,-15.034481014326,2.24365283366926e-29,9.43628605237436e-27,56.2636239949124
"215918_s_at",-4.63372265445314,3.51071765194215,-15.0315806461308,2.27799825798994e-29,9.5075995996641e-27,56.2486093813563
"211792_s_at",-3.15900605482866,4.96504516771901,-15.003328032343,2.64145424546282e-29,1.09410235508091e-26,56.1023019413582
"207302_at",-4.62648027054137,3.19150396342975,-14.9937197338453,2.77789429408255e-29,1.1419651919471e-26,56.0525245312966
"1552615_at",-2.55899099077156,5.09115860120661,-14.9812256590007,2.96595225642597e-29,1.21017492253799e-26,55.9877814112735
"239349_at",-3.42657110971552,2.97625349052066,-14.9737894741592,3.08389456008885e-29,1.24897729683598e-26,55.9492395132933
"228890_at",-2.1237059891256,3.5723075602314,-14.9684884543577,3.17083616015181e-29,1.27474608129632e-26,55.9217604468839
"230438_at",-2.87274716396839,5.64408685406612,-14.9557123152334,3.39062557292232e-29,1.35315659269728e-26,55.8555194725886
"228104_at",-3.68986041778852,3.45112093655372,-14.9520995834476,3.45550556546273e-29,1.36905628109909e-26,55.8367850909778
"232331_at",-3.1022628464944,3.28205896887603,-14.9480112353849,3.53043171330975e-29,1.38867880521734e-26,55.8155825725163
"222317_at",-5.45056865512734,4.04314613002479,-14.9462935930472,3.56239509949348e-29,1.39124251474861e-26,55.8066741786029
"1560697_at",-2.50810028005097,2.68593838289256,-14.9366374256398,3.74756991545408e-29,1.45318003636491e-26,55.7565872393002
"231067_s_at",-3.49620276905378,3.09669931817355,-14.9263431335642,3.95563866246818e-29,1.52306016810174e-26,55.703178893804
"228802_at",-3.10723404935244,3.29985696159504,-14.9215628217279,4.05616403027208e-29,1.55084453395193e-26,55.678373906549
"241764_at",-2.01399234939091,2.61330976223967,-14.8634563526706,5.50403875869524e-29,2.0898147161921e-26,55.3766574760122
"226911_at",-2.82227558917935,3.9357123226281,-14.8478652058583,5.97418328592386e-29,2.2526791114337e-26,55.2956373111498
"235927_at",2.73080951968945,6.51434103115702,14.8377856076568,6.29938141244323e-29,2.35903204606393e-26,55.2432439238944
"1557832_at",-4.97104899575,3.2622082676281,-14.8320518850105,6.49223832196009e-29,2.41471517179026e-26,55.2134352509308
"209614_at",-5.33770648625856,4.10183294436364,-14.8138134783093,7.1460075524512e-29,2.63991866844777e-26,55.1185927701964
"239982_at",-2.1650322632438,3.64038109950413,-14.7675738961742,9.11539776478431e-29,3.34486156234619e-26,54.8779765182941
"200671_s_at",-2.75211071360299,2.99676577965289,-14.7662891384062,9.17728525730554e-29,3.34512047628787e-26,54.8712877048141
"220357_s_at",-1.92940211683659,3.15282839184298,-14.7630783971405,9.3337989877207e-29,3.37963880565317e-26,54.8545708872881
"222161_at",-2.7032894155849,2.72303680409917,-14.7534464766494,9.81958756723855e-29,3.53128459540805e-26,54.8044152689943
"227243_s_at",-3.54568007701249,3.2886241658843,-14.7522479675481,9.88178405299372e-29,3.53128459540805e-26,54.7981736499509
"1555854_at",-4.54529976536035,3.19829864167769,-14.7010183432772,1.29451577021335e-28,4.59595128158537e-26,54.5312330146569
"1559901_s_at",-2.56615612291916,3.24346790469421,-14.695094858747,1.33559516908029e-28,4.71120424964289e-26,54.5003493361965
"215039_at",-4.70884644214543,4.17009457199174,-14.6830787626185,1.42299098697678e-28,4.98730975724074e-26,54.4376885334908
"230003_at",-4.90536886623537,4.66329300058678,-14.6526918593392,1.67049074510997e-28,5.81745741967439e-26,54.2791592368167
"205610_at",-2.6543997221358,4.19284959828926,-14.6485833993253,1.70711683411083e-28,5.9073805636082e-26,54.2577176567242
"227178_at",-2.91100894196498,4.28632273059504,-14.5490432987766,2.88872411182584e-28,9.93339564868413e-26,53.7376768432174
"210964_s_at",-5.2895297506709,4.01302955661984,-14.5433413332595,2.97718312917466e-28,1.01735929742265e-25,53.7078553124161
"243225_at",-2.87181905125797,3.61253582183471,-14.5384681451525,3.05493651639768e-28,1.03744505611207e-25,53.6823655909082
"220213_at",-1.06069929360466,2.52886707103306,-14.4791876652014,4.18109846682605e-28,1.41112073255379e-25,53.3720917723037
"1553583_a_at",-3.24423271080206,4.65266010485124,-14.4659572637775,4.48465534576027e-28,1.5042854664383e-25,53.3027933624293
"238613_at",-2.86878971902833,3.92353950346281,-14.4088460682101,6.07032462152672e-28,2.02374999196325e-25,53.0034450778103
"242313_at",-2.00094448418443,2.78048418106612,-14.3742853854703,7.29203074202977e-28,2.41631382315441e-25,52.8221302290795
"205289_at",-2.41473449863182,3.07179457253719,-14.3459046587025,8.47781974566048e-28,2.79231803972281e-25,52.6731446078321
"239272_at",-3.55221032056565,3.36662950133058,-14.3329643292973,9.08095695073048e-28,2.97306180407898e-25,52.6051863034183
"209840_s_at",-3.74139149840671,3.27938495247107,-14.3203927040007,9.70813115882274e-28,3.15947661374186e-25,52.5391478053649
"221104_s_at",-2.4010054596194,2.66033441565289,-14.3119387964907,1.0154149172946e-27,3.28507755047823e-25,52.4947304656605
"202178_at",2.68367106030369,6.29248826758678,14.3040865658092,1.05868272949612e-27,3.40491048442354e-25,52.4534678041652
"208510_s_at",-4.73804667432246,4.40509549847934,-14.2523984797952,1.39355605763172e-27,4.45571213163826e-25,52.1816949290293
"1559942_at",-3.35694009093669,3.41104686989256,-14.2513015556037,1.40171178625813e-27,4.45573208800366e-25,52.1759244164548
