"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204301_at",-1.01173749246664,2.6523666552562,-6.32561962355054,4.50142292108186e-09,7.08449332786847e-08,10.1010163750404
"206546_at",2.1962704917494,5.12791566768595,6.32468547775648,4.52188775003128e-09,7.11465360382619e-08,10.0965802362176
"235008_at",1.69641227978617,5.03536218856198,6.32457173438549,4.52438583776687e-09,7.11653612427801e-08,10.0960401057205
"224999_at",-2.3854801531115,5.91199354933884,-6.3237635179181,4.54217547893733e-09,7.14246316683632e-08,10.092202285909
"224615_x_at",1.36166244388908,7.59820361299174,6.32344531411191,4.54919834854396e-09,7.14939407032599e-08,10.0906913604198
"204922_at",1.52448499087667,5.08993465359504,6.32171715328222,4.5875266794995e-09,7.20548753811075e-08,10.0824862028196
"222034_at",1.2130654695588,4.52804354469422,6.32054765539663,4.61364490865929e-09,7.24442950548382e-08,10.0769341606038
"202790_at",1.80643318397678,5.40606574493388,6.32035628568591,4.61793266479216e-09,7.24908034589466e-08,10.0760257058851
"222320_at",1.45930905781784,5.58766084886777,6.31961887768039,4.63449148284258e-09,7.2729857010453e-08,10.0725252704505
"218487_at",-1.58980414612846,6.7731611521405,-6.3172285457823,4.68857055690279e-09,7.35574161258709e-08,10.0611798918517
"203886_s_at",-2.06841833349046,7.55398178118182,-6.3168698505553,4.69673916906679e-09,7.36644331809314e-08,10.0594775789379
"234980_at",-1.52544436587561,3.93546317757025,-6.31499828814867,4.73958844467359e-09,7.43151701211725e-08,10.0505962089226
"59697_at",1.67863905385971,4.10444077961157,6.31476123916223,4.74504306503574e-09,7.43793662789075e-08,10.0494714027873
"208671_at",-1.88833682509963,8.47477703495868,-6.31390748309716,4.76473972754033e-09,7.46667081121432e-08,10.0454204730952
"222675_s_at",1.55651218344058,5.05387185512397,6.31260624264866,4.79491514623793e-09,7.51180474557475e-08,10.0392468293873
"222885_at",-1.6631522328462,4.77734225833884,-6.31052158628742,4.84365058680512e-09,7.58598097489458e-08,10.0293576449018
"238647_at",-1.5080648940617,4.25452354858678,-6.30979056111347,4.86085590536333e-09,7.60856846910221e-08,10.0258901959667
"221191_at",1.46986477978164,4.93192745539669,6.30762868339671,4.91209063954981e-09,7.68656427353709e-08,10.0156370002288
"236417_at",1.32409181164306,6.27203541461984,6.30700002830151,4.92708882872856e-09,7.70782780288223e-08,10.012655789486
"215000_s_at",-1.41208055623594,9.12194659663636,-6.30661453870748,4.93630797893795e-09,7.72004115413137e-08,10.0108277924511
"239954_at",1.27596480690665,5.03626878647107,6.30544519440754,4.96437742447813e-09,7.76171963635521e-08,10.0052830863485
"216033_s_at",-1.67049087360865,4.30879927092562,-6.30475842085074,4.98093625661552e-09,7.78538278531886e-08,10.0020268358259
"206562_s_at",1.04147365464529,9.50206869671901,6.30469668263901,4.98242749224906e-09,7.78548794337574e-08,10.0017341205209
"226914_at",1.34635199671487,8.33599700843802,6.30399493741454,4.99940850829467e-09,7.80979029117174e-08,9.99840708275744
"202053_s_at",-1.76437813058887,7.83995930405785,-6.30185677369395,5.05150059734163e-09,7.88891160124689e-08,9.98827099413254
"233274_at",1.01670070807971,6.47884189819008,6.30053763196864,5.083905137757e-09,7.93498468189734e-08,9.98201838283368
"244265_at",1.64184991315268,5.23683409991736,6.29903718398937,5.12101238270946e-09,7.98834099927645e-08,9.97490719115561
"221246_x_at",-1.18129674854586,5.4696683741157,-6.29768734421411,5.15462284286667e-09,8.03847700894852e-08,9.96851051188144
"238774_at",1.75354035143322,5.61833484256198,6.29646845752031,5.18515924891648e-09,8.08379190004301e-08,9.96273498740496
"230764_at",-1.16959421617255,3.03018552163636,-6.29545976228679,5.21056447313243e-09,8.11814414477727e-08,9.95795584843531
"223211_at",-1.62224387384736,6.810543923,-6.29530540473425,5.21446295799076e-09,8.11814414477727e-08,9.95722454516111
"239679_at",1.20886515183141,5.67724825507438,6.29519297596466,5.2173042893991e-09,8.12001457508954e-08,9.9566918944755
"239131_at",1.67373957905483,5.32165163912397,6.29500530619544,5.22205053002258e-09,8.12508858079069e-08,9.95580278717523
"219281_at",-1.47987567746273,6.16011968609091,-6.29423129546388,5.24167053877271e-09,8.15329549665428e-08,9.95213596162928
"226277_at",-1.61269426846783,6.79740532704959,-6.29307187923076,5.27119590653005e-09,8.19688953895138e-08,9.94664372450197
"209774_x_at",-2.39014779713635,4.41705917530579,-6.29239379729995,5.28853960161266e-09,8.21761822958128e-08,9.9434318367775
"228950_s_at",-1.58780031624664,3.60607623185124,-6.28939912630435,5.36581069003752e-09,8.33453691698299e-08,9.92924897529421
"238688_at",1.62301300654409,5.37712608649587,6.28909667632369,5.37367631535546e-09,8.34438377001022e-08,9.92781675005231
"1557780_at",1.60340654021037,5.39813547101653,6.28831191146596,5.39413819672297e-09,8.37140238165848e-08,9.92410072605665
"226434_at",1.24475599982858,7.1357500848843,6.28733278208061,5.41977554667554e-09,8.408803292125e-08,9.91946467149258
"231736_x_at",-2.86894142368844,9.12701180550413,-6.28572999062233,5.46200200137917e-09,8.46951104439609e-08,9.9118764360769
"219288_at",2.11177087239079,8.29581487532231,6.28559384261244,5.46560379313473e-09,8.47269314969213e-08,9.91123190335262
"218037_at",1.45752404789871,7.59423628576033,6.28511881739859,5.47818890005848e-09,8.48979529792226e-08,9.90898316071626
"223380_s_at",-1.16340756541749,7.26714112576033,-6.28466438140081,5.49025523512583e-09,8.50608401758302e-08,9.90683196600149
"222310_at",1.44670096191116,5.78721303698347,6.28345636183766,5.5224583911592e-09,8.55113034654855e-08,9.90111386048412
"215908_at",1.05610873112439,5.74152878301653,6.28335093790881,5.52527757202505e-09,8.55307336496234e-08,9.9006148672731
"225241_at",-2.13844831643898,6.84817010828099,-6.28074958569559,5.59529204681408e-09,8.6590034718245e-08,9.88830346067779
"218488_at",-1.4920079563219,6.07908830745455,-6.27940920781753,5.63170820019719e-09,8.71289320446466e-08,9.8819608595886
"230491_at",2.22352137664081,5.78098693150413,6.27923753138721,5.6363892338051e-09,8.71766849669855e-08,9.88114854438929
"229951_x_at",-1.10712446050062,5.59064893083471,-6.27744538982439,5.68548421502361e-09,8.78863017971207e-08,9.87266939823392
"223213_s_at",-1.12237353022575,7.95743272209917,-6.27429093585236,5.77292426026328e-09,8.91875201836379e-08,9.85774770652219
